"","Name","Mean_Latitude","Mean_Longitude","Rich","Alpha"
"1","AqueductPark",43.15558593,-77.6107836,37,2.3055391095
"2","BrowncrowftRoseGardenPark",43.15742261,-77.54406093,40,2.73944116325
"3","BrownSquarePark",43.16057535,-77.62378716,30.5,2.20429305475
"4","BucklandPark",43.11347557,-77.58616003,41.75,2.70389289
"5","CurtisPointPark",43.12146701,-77.63573481,38,2.5565418265
"6","EllisonPark",43.14477545,-77.51413954,40,2.591995207
"7","FarmigtonPark",43.16554665,-77.55531031,38.75,2.680282032
"8","KodakLotGreenery",43.163987,-77.621072,30.5,2.1973136355
"9","GrandAvePark",43.16506143,-77.5741747,29.75,1.343823578
"10","GreeceCanalPark",43.19855212,-77.73732727,33.5,2.76710070925
"11","GreenwoodPark",43.17015021,-77.48723706,31,2.2020273065
"12","HighFallsTerracePark",43.16269181,-77.61331254,37,2.11126041266667
"13","LambertonConservatory",43.13262898,-77.60628705,35.75,2.458574105
"14","JonesSquarePark",43.16736786,-77.63012888,38.25,2.137585902
"15","LaSallesLandingPark",43.17676415,-77.52439009,37,2.2576012455
"16","LegionEyerPark",43.11012029,-77.47520802,25.5,1.920464932
"17","LookupPark",43.04566536,-77.61444562,38.3333333333333,2.88884787666667
"18","MaplewoodPark",43.1823964,-77.62986676,37,2.59249950375
"19","MendonCenterPark",42.99641423,-77.56017632,42,2.45684713675
"20","MendonStationPark",42.9965576,-77.50447816,50.5,2.7267227
"21","MLKJrPark",43.15424969,-77.60155074,23.75,2.4450563985
"22","NorthPondsPark",43.21737641,-77.44247633,29.75,2.61499795575
"23","OntarioBeachPark",43.25816963,-77.61141848,34.75,2.60098694175
"24","PerintonPark",43.10179944,-77.45701263,37.25,2.30728528175
"25","RalphAveryPark",43.14916487,-77.61368706,34,2.4717940705
"26","RiverwayTrailExchangeBlvd",43.1473504,-77.61213605,37.25,1.90838444325
"27","RocCitySkatePark",43.15175139,-77.60790512,35,2.42746156025
"28","RothfussPark",43.16439676,-77.47283383,34.75,2.35521879075
"29","SpezioPark",43.2528684,-77.59949999,43.75,2.67422749225
"30","SpezioTriangle",43.252328,-77.599972,36.5,2.45634063025
"31","SpringLakePark",43.11762718,-77.47688968,35.5,2.4538836925
"32","StonybrookRoadPark",42.98235756,-77.65547989,43.25,2.86653540075
"33","SusanBAnthonySquare",43.15406683,-77.62730678,32.25,2.451762862
"34","TurningPointPark",43.23009452,-77.62019978,41,2.28572322225
"35","VeteransMemorialPark",43.065799,-77.62388086,32.75,2.4922739125
"36","WadsworthSquarePark",43.15083786,-77.60351283,33,2.17170003375
"37","WashingtonSquarePark",43.15357247,-77.60622466,26.5,2.60687390375
"38","GeneseeGatewayPark",43.146652,-77.609954,32.3333333333333,2.343204598
"39","WebsterFirstRespondersPark",43.22773332,-77.42448104,31.25,2.63891266775
"40","WhiteBrookNatureArea",43.07004141,-77.39017644,34.5,2.501838324
